annee,code_insee,secteur,energie,conso_reel_mwh,conso_normal_mwh
2017,91098,RES,ELEC,1625.76,1658.74
2017,91099,RES,ELEC,10727.99,10963.37
2017,91100,RES,ELEC,2281,2327.49
2017,91103,RES,ELEC,60842.13,62083.82
2017,91105,RES,ELEC,21658.8,22033.82
2017,91106,RES,ELEC,3755.24,3824.94
2017,91109,RES,ELEC,4172.08,4265.37
2017,91111,RES,ELEC,12339.88,12637.78
2017,91112,RES,ELEC,498.13,505.94
2017,91114,RES,ELEC,59529.55,60540.63
2017,91115,RES,ELEC,10100.86,10320.09
2017,91121,RES,ELEC,2168.34,2212.24
2017,91122,RES,ELEC,26455,26969.84
2017,91129,RES,ELEC,10101.01,10289.23
2017,91130,RES,ELEC,4647.09,4743.02
2017,91131,RES,ELEC,1665.76,1703.01
2017,91132,RES,ELEC,3636,3715.12
2017,91135,RES,ELEC,7682.66,7839.93
2017,91136,RES,ELEC,9078.72,9255.62
2017,91137,RES,ELEC,1419.34,1450.18
2017,91145,RES,ELEC,280.89,287.54
2017,91148,RES,ELEC,453.54,463.3
2017,91156,RES,ELEC,6679.36,6826.81
2017,91159,RES,ELEC,5391.52,5519.74
2017,91161,RES,ELEC,41799.11,42743.12
2017,91174,RES,ELEC,124729.9,127969.15
2017,91175,RES,ELEC,5917.11,6059.12
2017,91179,RES,ELEC,14301.74,14578.67
2017,91180,RES,ELEC,1226.99,1245.31
2017,91184,RES,ELEC,807.99,822.57
2017,91186,RES,ELEC,2534.56,2602.7
2017,91191,RES,ELEC,22200.62,22695.33
2017,91195,RES,ELEC,2582,2626.89
2017,91198,RES,ELEC,5290.72,5403.87
2017,91200,RES,ELEC,29655.72,30266.3
2017,91201,RES,ELEC,76991.71,78616.37
2017,91204,RES,ELEC,2568.18,2627.98
2017,91207,RES,ELEC,14003.33,14305.98
2017,91215,RES,ELEC,17048.65,17225.22
2017,91216,RES,ELEC,24819.02,25227.49
2017,91223,RES,ELEC,71053.57,72919.23
2017,91225,RES,ELEC,9536.54,9673.88
2017,91226,RES,ELEC,21640.21,22101.7
2017,91228,RES,ELEC,115124.29,116825.14
2017,91232,RES,ELEC,12692.68,12975.17
2017,91235,RES,ELEC,15427.95,15797.85
2017,91240,RES,ELEC,735.66,748.87
2017,91243,RES,ELEC,6864.87,7013.69
2017,91244,RES,ELEC,4893.62,5004.74
2017,91247,RES,ELEC,1924.23,1972.96
2017,91248,RES,ELEC,598.73,613.27
2017,91249,RES,ELEC,14149.44,14487.35
2017,91272,RES,ELEC,74674.49,76841.84
2017,91273,RES,ELEC,3178.15,3251.56
2017,91274,RES,ELEC,5544.13,5652.04
2017,91275,RES,ELEC,8206.59,8369.83
2017,91284,RES,ELEC,3870.77,3946.69
2017,91286,RES,ELEC,38838.19,39201.89
2017,91292,RES,ELEC,2958.09,3023.35
2017,91293,RES,ELEC,2876,2931.12
2017,91294,RES,ELEC,3424.58,3496.32
2017,91312,RES,ELEC,27282.13,27742.48
2017,91315,RES,ELEC,20717.95,21133.35
2017,91318,RES,ELEC,5948.99,6059.26
2017,91319,RES,ELEC,2712.18,2766.2
2017,91326,RES,ELEC,39358.4,40200.68
2017,91330,RES,ELEC,16638,16965.55
2017,91332,RES,ELEC,4415.7,4516.55
2017,91333,RES,ELEC,12983.46,13255.71
2017,91338,RES,ELEC,22302.15,22782.82
2017,91339,RES,ELEC,21111.91,21605.44
2017,91340,RES,ELEC,27132.96,27804.77
2017,91345,RES,ELEC,51252.67,52606.47
2017,91347,RES,ELEC,20076.2,20508.4
2017,91359,RES,ELEC,9854.79,10076.99
2017,91363,RES,ELEC,27181.26,27795.74
2017,91374,RES,ELEC,912.41,935.29
2017,91376,RES,ELEC,15789,16139.67
2017,91377,RES,ELEC,89407.81,90632.05
2017,91378,RES,ELEC,1165.93,1192.53
2017,91386,RES,ELEC,36422.67,37067.78
2017,91390,RES,ELEC,13328.07,13604.12
2017,91393,RES,ELEC,2132.11,2180.87
2017,91399,RES,ELEC,878.58,898.96
2017,91405,RES,ELEC,21614.21,22145.64
2017,91408,RES,ELEC,4513,4592.21
2017,91411,RES,ELEC,6871.55,7024.93
2017,91412,RES,ELEC,2814,2882.35
2017,91414,RES,ELEC,1683.41,1724.78
2017,91421,RES,ELEC,59190.7,60309.59
2017,91425,RES,ELEC,26694.02,27348.42
2017,91432,RES,ELEC,37046.18,37810.72
2017,91433,RES,ELEC,17282.87,17716.42
2017,91434,RES,ELEC,48944.4,49841.96
2017,91435,RES,ELEC,2706.18,2757.53
2017,91441,RES,ELEC,2241.6,2295
2017,91457,RES,ELEC,13219.18,13517.72
